"song","elements"
"Mary's Song (Oh My My My)","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus 1, Chorus 1, Chorus 1, Chorus 1, Chorus 1, Chorus 1, Chorus 1, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus 2, Chorus 2, Chorus 2, Chorus 2, Chorus 2, Chorus 2, Verse 3, Verse 3, Verse 3, Chorus 3, Chorus 3, Chorus 3, Chorus 3, Chorus 3, Chorus 3, Outro, Outro, Outro"
"Our Song","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Outro, Outro, Outro, Outro"
"I'm Only Me When I'm With You","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Outro, Outro"
"Invisible","Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Outro, Outro"
"A Perfectly Good Heart","Chorus, Chorus, Chorus, Chorus, Verse, Verse, Verse, Verse, Verse, Verse, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus"
"Teardrops On My Guitar (Pop Version)","Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus 1, Pre-Chorus 1, Pre-Chorus 1, Pre-Chorus 1, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus 2, Pre-Chorus 2, Pre-Chorus 2, Pre-Chorus 2, Chorus, Chorus, Chorus, Chorus, Verse 3, Verse 3, Verse 3, Verse 3, Pre-Chorus 3, Pre-Chorus 3, Pre-Chorus 3, Pre-Chorus 3, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Outro, Outro, Outro, Outro"
"Fearless","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Verse 3, Verse 3, Verse 3, Verse 3, Verse 3, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Outro, Outro"
"Fifteen","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Outro, Outro, Outro"
"Love Story","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Post-Chorus, Bridge, Bridge, Bridge, Bridge, Breakdown, Breakdown, Breakdown, Breakdown, Chorus, Chorus, Chorus, Chorus, Outro, Outro, Outro"
"Hey Stephen","Intro, Intro, Intro, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Outro, Outro, Outro"
"White Horse","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Outro, Outro, Outro"
"You Belong With Me","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Outro, Outro, Outro, Outro"
"Breathe","Verse 1, Verse 1, Verse 1, Verse 1, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Verse 3, Verse 3, Verse 3, Verse 3, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Outro, Outro, Outro, Outro"
"Tell Me Why","Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Outro, Outro, Outro"
"You're Not Sorry","Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus"
"The Way I Loved You","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Outro, Outro, Outro"
"Forever & Always","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus"
"The Best Day","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Verse 3, Verse 3, Verse 3, Verse 3, Verse 3, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus"
"Change","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus"
"Jump Then Fall","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Outro, Outro, Outro, Outro, Outro, Outro"
"Untouchable","Verse 1, Verse 1, Verse 1, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Outro, Outro"
"Forever & Always (Piano Version)","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Post-Chorus, Post-Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Outro, Outro"
"Come In With The Rain","Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Outro, Outro"
"SuperStar","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Outro, Outro"
"The Other Side Of The Door","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Outro, Outro, Outro, Outro, Outro, Outro, Outro"
"Fearless (Taylor's Version)","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Verse 3, Verse 3, Verse 3, Verse 3, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Outro, Outro"
"Fifteen (Taylor's Version)","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Outro, Outro, Outro"
"Love Story (Taylor's Version)","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Post-Chorus, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Outro, Outro, Outro"
"Hey Stephen (Taylor's Version)","Intro, Intro, Intro, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Outro, Outro, Outro, Outro, Outro, Outro, Outro"
"White Horse (Taylor's Version)","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Outro, Outro, Outro"
"You Belong With Me (Taylor's Version)","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Outro, Outro, Outro, Outro"
"Breathe (Taylor's Version)","Verse 1, Verse 1, Verse 1, Verse 1, Break, Break, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Verse 3, Verse 3, Verse 3, Verse 3, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Outro, Outro, Outro, Outro"
"Tell Me Why (Taylor's Version)","Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Outro, Outro, Outro"
"You're Not Sorry (Taylor's Version)","Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Outro, Outro, Outro"
"The Way I Loved You (Taylor's Version)","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Outro, Outro, Outro, Outro, Outro"
"Forever & Always (Taylor's Version)","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus"
"The Best Day (Taylor's Version)","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Verse 3, Verse 3, Verse 3, Verse 3, Verse 3, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus"
"Change (Taylor's Version)","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus"
"Jump Then Fall (Taylor's Version)","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Outro, Outro, Outro, Outro, Outro, Outro"
"Untouchable (Taylor's Version)","Verse 1, Verse 1, Verse 1, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Outro, Outro, Outro, Outro, Outro, Outro, Outro"
"Forever & Always (Piano Version) [Taylor's Version]","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Outro"
"Come In With The Rain (Taylor's Version)","Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Outro, Outro"
"SuperStar (Taylor's Version)","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Outro, Outro"
"The Other Side Of The Door (Taylor's Version)","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Outro, Outro, Outro, Outro, Outro, Outro, Outro"
"Today Was A Fairytale (Taylor's Version)","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Outro, Outro"
"You All Over Me (Taylor's Version) [From The Vault]","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Outro, Outro"
