,album_name,track_name,artist,featuring,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,explicit,key_name,mode_name,key_mode,lyric,negative_emotion,positive_emotion,friends,children,speaking,optimism,family,love,pain,violence,hate
18,The Taylor Swift Holiday Collection,Silent Night,Taylor Swift,,0.423,0.311,7,-7.581,1,0.0319,0.621,0.0,0.0987,0.134,119.546,3,209893,False,G,major,G major,"[""silent night holy night all is calm and all is bright round yon virgin mother and child holy infant so tender and mild sleep in heavenly peace sleep in heavenly peace   silent night holy night shepherds quake at the sight glories stream from heaven afar heavenly hosts sing hallelujah christ the saviour is born christ our saviour is born   silent night holy night son of god love's pure light radiant beams from thy holy face with the dawn of redeeming grace jesus lord at thy birth jesus lord at thy birth   hallelujah hallelujah hallelujah  christ the saviour is born""]",0.0,0.0,0.0,6.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0
19,The Taylor Swift Holiday Collection,Christmas Must Be Something More,Taylor Swift,,0.689,0.793,7,-4.838,1,0.0356,0.298,0.0,0.107,0.506,122.879,4,232147,False,G,major,G major,"[""what if ribbons and bows didn't mean a thing would the song still survive without five golden rings would you still wanna kiss without mistletoe what would happen if god never let it snow what would happen if christmas carols told a lie tell me what would you find   you'd see that today holds something special something holy not superficial so here's to the birthday boy who saved our lives it's something we all try to ignore and put a wreath up on your door so here's something you should know that is for sure christmas must be something more   what if angels did not pay attention to all the things that we wished they would always do what if happiness came in a cardboard box then i think there is something we all forgot what would happen if presents all went away tell me what would you find   you'd see that today holds something special something holy not superficial so here's to the birthday boy who saved our lives it's something we all try to ignore and put a wreath up on your door so here's something you should know that is for sure christmas must be something more   we get so caught up in all of it business and relationships hundredmileanhour lives and it's this time of year and everybody's here it seems the last thing on your mind   is that the day holds something special something holy not superficial so here's to jesus christ who saved our lives it's something we all try to ignore and put a wreath up on your door but here's something you should know that is for sure christmas must be something christmas must be something christmas must be something more   there's gotta be more there's gotta be more""]",2.0,1.0,3.0,2.0,2.0,1.0,0.0,2.0,0.0,1.0,3.0
20,The Taylor Swift Holiday Collection,White Christmas,Taylor Swift,,0.562,0.392,9,-9.014,1,0.0287,0.587,0.0,0.224,0.514,145.792,4,154000,False,A,major,A major,"[""i'm dreaming of a white christmas just like the ones i used to know where the tree tops glisten and children listen to hear sleigh bells in the snow   i'm dreaming of a white christmas with every christmas card i write may your days be merry and bright and may all your christmases be white  intermission   i'm dreaming of a white christmas just like the ones i used to know so may your days be merry and bright and may all your christmases be white   may your days be merry and bright and may all your christmases be white""]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Fearless,Jump Then Fall,Taylor Swift,,0.618,0.687,2,-5.737,1,0.0271,0.111,0.0,0.0693,0.82,79.991,4,237067,False,D,major,D major,"[""i like the way you sound in the morning we're on the phone and without a warning i realize your laugh is the best sound i have ever heard i like the way i can't keep my focus i watch you talk you didn't notice i hear the words but all i can think is we should be together every time you smile i smile and every time you shine i'll shine for you   whoa oh i'm feeling you baby don't be afraid to jump then fall jump then fall into me baby i'm never gonna leave you say that you wanna be with me too so i'ma stay through it all so jump then fall   well i like the way your hair falls in your face you got the keys to me i love each freckle on your face oh i've never been so wrapped up honey i like the way you're everything i ever wanted i had time to think it oh over and all i can say is come closer take a deep breath and  jump then fall into me 'cause every time you smile i smile and every time you shine i'll shine for you   whoa oh i'm feeling you baby don't be afraid to jump then fall jump then fall into me baby i'm never gonna leave you say that you wanna be with me too 'cause i'm gonna stay through it all so jump then fall   the bottom's gonna drop out from under our feet i'll catch you i'll catch you when people say things that bring you to your knees i'll catch you the time is gonna come when you're so mad you could cry but i'll hold you through the night until you smile whoa oh i need you baby don't be afraid please jump then fall jump then fall into me   baby i'm never gonna leave you say that you wanna be with me too 'cause i'm gonna stay through it all so jump then fall jump then fall baby jump then fall into me into me   every time you smile i smile and every time you shine i shine and every time you're here baby i'll show you i'll show you you can jump then fall jump then fall jump then fall into me into me yeah""]",6.0,4.0,2.0,8.0,9.0,3.0,12.0,1.0,21.0,4.0,3.0
22,Fearless,Untouchable,Taylor Swift,,0.419,0.454,5,-6.809,1,0.0335,0.0583,3.78e-06,0.0974,0.288,200.017,4,311040,False,F,major,F major,"[""untouchable like a distant diamond sky i'm reaching out and i just can't tell you why i'm caught up in you i'm caught up in you  pre untouchable burning brighter than the sun and when you're close i feel like coming undone   in the middle of the night when i'm in this dream it's like a million little stars spelling out your name you got to come on come on say that we'll be together come on come on little taste of heaven   it's half full and i won't wait here all day i know you're saying that you'd be here anyway  pre but you're untouchable burning brighter than the sun now that you're close i feel like coming undone   in the middle of the night when i'm in this dream it's like a million little stars spelling out your name you got to come on come on say that we'll be together come on come on oh in the middle of the night waking from this dream i want to feel you by my side standing next to me you got to come on come on say that we'll be together come on come on little taste of heaven   i'm caught up in you oh oh oh  pre but you're untouchable burning brighter than the sun now that you're close i feel like coming undone   in the middle of the night when i'm in this dream it's like a million little stars spelling out your name you got to come on come on say that we'll be together come on come on oh in the middle of the night when i'm in this dream it's like a million little stars spelling out your name you got to come on come on say that we'll be together come on come on come on in the middle of the night waking from this dream i want to feel you by my side standing next to me you got to come on come on say that we'll be together come on come on little taste of heaven and in the middle of the night when i'm in this dream it's like a million little stars spelling out your name you got to come on come on come on come on come on come on oh oh oh   like a million little stars spelling out your name they're spelling out your name oh""]",0.0,0.0,0.0,9.0,8.0,0.0,0.0,5.0,8.0,5.0,0.0
23,Fearless,Forever & Always (Piano Version),Taylor Swift,,0.592,0.16,9,-10.785,1,0.0347,0.852,0.0,0.116,0.294,118.929,4,267507,False,A,major,A major,"[""once upon a time i believe it was a tuesday when i caught your eye and we caught onto something i hold onto the night you looked me in the eye and told me you loved me were you just kidding 'cause it seems to me this thing is breaking down we almost never speak i don't feel welcome anymore baby what happened please tell me 'cause one second it was perfect now you're halfway out the door  pre and i stare at the phone he still hasn't called and then you feel so low you can't feel nothing at all and you flashback to when he said forever and always   oh and it rains in your bedroom everything is wrong it rains when you're here and it rains when you're gone i was there when you said forever and always   was i out of line did i say something way too honest made you run and hide like a scared little boy i looked into your eyes thought i knew you for a minute now i'm not so sure so here's to everything coming down to nothing here's to silence that cuts me to the core where is this going thought i knew for a minute but i don't anymore  pre and i stare at the phone he still hasn't called and then you feel so low you can't feel nothing at all and you flashback to when he said forever and always   and it rains in your bedroom everything is wrong it rains when you're here and it rains when you're gone i was there when you said forever and always   you didn't mean it baby i don't think so oh oh oh back up baby back up did you forget everything back up baby back up did you forget everything back up baby back up please back up oh back up back up baby back up    'cause it rains in your bedroom everything is wrong it rains when you're here and it rains when you're gone i was there when you said forever and always  pre and i stare at the phone he still hasn't called and then you feel so low you can't feel nothing at all and you flashback to when we said forever and always   'cause it rains in your bedroom everything is wrong it rains when you're here and it rains when you're gone i was there when you said forever and always   you didn't mean it baby you said forever and always yeah""]",7.0,2.0,9.0,9.0,3.0,0.0,7.0,8.0,8.0,10.0,0.0
25,Fearless,SuperStar,Taylor Swift,,0.61,0.531,2,-6.123,1,0.0239,0.367,0.0,0.351,0.228,85.979,4,261453,False,D,major,D major,"[""this is wrong but i can't help but feel like there aint nothing more right babe misty morning comes again and i can't help but wish i could see your face and i knew from the first note played i'd be breaking all my rules to see you you smile that beautiful smile and all the girls in the front row scream your name   so dim that spotlight tell me things like i can't take my eyes off of you i'm no one special just another wideeyed girl who's desperately in love with you give me a photograph to hang on my wall superstar   good morning loneliness comes around when i'm not dreaming about you when my world wakes up today you'll be in another town and i knew when i saw your face i'd be counting down the ways to see you you smile that beautiful smile and all the girls in the front row scream your name   so dim that spotlight tell me things like i can't take my eyes off of you i'm no one special just another wideeyed girl who's desperately in love with you give me a photograph to hang on my wall superstar   you played in bars you play  and i'm invisible and everyone knows who you are and you'll never see you sing me to sleep every night from the radio   so dim that spotlight tell me things like i can't take my eyes off of you i'm no one special just another wideeyed girl who's desperately in love with you give me a photograph to hang on my wall superstar   sweet sweet superstar superstar""]",1.0,4.0,8.0,3.0,3.0,3.0,0.0,4.0,3.0,1.0,0.0
27,Fearless,Fearless,Taylor Swift,,0.598,0.714,5,-4.397,1,0.0273,0.0364,1.04e-06,0.31,0.467,99.979,4,242000,False,F,major,F major,"[""there's something 'bout the way the street looks when it's just rained there's a glow off the pavement you walk me to the car and you know i wanna ask you to dance right there in the middle of the parking lot yeah oh yeah  we're driving down the road i wonder if you know i'm trying so hard not to get caught up now but you're just so cool run your hands through your hair absentmindedly making me want you   and i don't know how it gets better than this you take my hand and drag me head first fearless and i don't know why but with you i'd dance in a storm in my best dress fearless   so baby drive slow 'til we run out of road in this one horse town i wanna stay right here in this passenger's seat you put your eyes on me in this moment now capture it remember it   'cause i don't know how it gets better than this you take my hand and drag me head first fearless and i don't know why but with you i'd dance in a storm in my best dress fearless   well you stood there with me in the doorway my hands shake i'm not usually this way but you pull me in and i'm a little more brave it's the first kiss it's flawless really something it's fearless oh yeah   'cause i don't know how it gets better than this you take my hand and drag me head first fearless and i don't know why but with you i'd dance in a storm in my best dress fearless   'cause i don't know how it gets better than this you take my hand and drag me head first fearless and i don't know why but with you i'd dance in a storm in my best dress fearless   oh oh oh yeah""]",1.0,4.0,4.0,2.0,1.0,4.0,5.0,1.0,0.0,0.0,0.0
28,Fearless,Fifteen,Taylor Swift,,0.559,0.636,7,-4.4,1,0.0263,0.0728,0.0,0.144,0.214,95.485,4,294347,False,G,major,G major,"[""you take a deep breath and you walk through the doors it's the morning of your very first day you say hi to your friends you ain't seen in a while try and stay out of everybody's way it's your freshman year and you're gonna be here for the next four years in this town hoping one of those senior boys will wink at you and say you know i haven't seen you around before   'cause when you're fifteen and somebody tells you they love you you're gonna believe them and when you're fifteen feeling like there's nothing to figure out well count to ten take it in this is life before you know who you're gonna be fifteen   you sit in class next to a redhead named abigail and soon enough you're best friends laughing at the other girls who think they're so cool we'll be outta here as soon as we can and then you're on your very first date and he's got a car and you're feeling like flying and your momma's waiting up and you're thinking he's the one and you're dancing 'round your room when the night ends when the night ends   'cause when you're fifteen and somebody tells you they love you you're gonna believe them and when you're fifteen and your first kiss makes your head spin 'round but in your life you'll do things greater than dating the boy on the football team but i didn't know it at fifteen   when all you wanted was to be wanted wish you could go back and tell yourself what you know now back then i swore i was gonna marry him someday but i realized some bigger dreams of mine and abigail gave everything she had to a boy who changed his mind and we both cried   'cause when you're fifteen and somebody tells you they love you you're gonna believe them and when you're fifteen don't forget to look before you fall i've found time can heal most anything and you just might find who you're supposed to be i didn't know who i was supposed to be at fifteen  post la la la la la la la la la la la la la la la la la la la la la la la la la la   your very first day take a deep breath girl take a deep breath as you walk through the doors""]",3.0,6.0,10.0,3.0,3.0,5.0,2.0,4.0,3.0,0.0,2.0
29,Fearless,Love Story,Taylor Swift,,0.618,0.736,2,-3.937,1,0.0308,0.157,0.0,0.073,0.307,118.982,4,235280,False,D,major,D major,"[""we were both young when i first saw you i close my eyes and the flashback starts i'm standing there on a balcony in summer air see the lights see the party the ball gowns see you make your way through the crowd and say hello little did i know  pre  that you were romeo you were throwing pebbles and my daddy said stay away from juliet and i was crying on the staircase begging you please don't go and i said    romeo take me somewhere we can be alone i'll be waiting all there's left to do is run you'll be the prince and i'll be the princess it's a love story baby just say yes   so i sneak out to the garden to see you we keep quiet 'cause we're dead if they knew so close your eyes escape this town for a little while  pre  'cause you were romeo i was a scarlet letter and my daddy said stay away from juliet but you were everything to me i was begging you please don't go and i said    romeo take me somewhere we can be alone i'll be waiting all there's left to do is run you'll be the prince and i'll be the princess it's a love story baby just say yes romeo save me they're trying to tell me how to feel this love is difficult but it's real don't be afraid we'll make it out of this mess it's a love story baby just say yes oh oh   i got tired of waiting wondering if you were ever coming around my faith in you was fading when i met you on the outskirts of town and i said romeo save me i've been feeling so alone i keep waiting for you but you never come is this in my head i don't know what to think he knelt to the ground and pulled out a ring and said    marry me juliet you'll never have to be alone i love you and that's all i really know i talked to your dad go pick out a white dress it's a love story baby just say yes   oh oh oh oh 'cause we were both young when i first saw you""]",7.0,10.0,6.0,13.0,7.0,8.0,8.0,7.0,3.0,3.0,1.0
30,Fearless,Hey Stephen,Taylor Swift,,0.843,0.553,6,-7.348,1,0.0317,0.168,2.66e-06,0.107,0.825,115.997,4,254320,False,F#,major,F# major,"[""hey stephen i know looks can be deceiving but i know i saw a light in you and as we walked we were talking i didn't say half the things i wanted to of all the girls tossing rocks at your window i'll be the one waiting there even when it's cold hey stephen boy you might have me believing i don't always have to be alone   'cause i can't help it if you look like an angel can't help it if i wanna kiss you in the rain so come feel this magic i've been feeling since i met you can't help it if there's no one else mmm i can't help myself   hey stephen i've been holding back this feeling so i got some things to say to you i've seen it all so i thought but i never seen nobody shine the way you do the way you walk way you talk way you say my name it's beautiful wonderful don't you ever change hey stephen why are people always leaving i think you and i should stay the same   'cause i can't help it if you look like an angel can't help it if i wanna kiss you in the rain so come feel this magic i've been feeling since i met you can't help it if there's no one else mmm i can't help myself   they're dimming the street lights you're perfect for me why aren't you here tonight i'm waiting alone now so come on and come out and pull me near and shine shine shine hey stephen i could give you fifty reasons why i should be the one you choose all those other girls well they're beautiful but would they write a song for you   i can't help it if you look like an angel can't help it if i wanna kiss you in the rain so come feel this magic i've been feeling since i met you can't help it if there's no one else mmm i can't help myself if you look like an angel can't help it if i wanna kiss you in the rain so come feel this magic i've been feeling since i met you can't help it if there's no one else mmm i can't help myself   myself can't help myself i can't help myself""]",3.0,5.0,5.0,1.0,5.0,6.0,0.0,8.0,9.0,4.0,5.0
31,Fearless,White Horse,Taylor Swift,,0.585,0.346,0,-8.014,1,0.0256,0.302,0.0,0.102,0.195,92.564,4,234440,False,C,major,C major,"[""say you're sorry that face of an angel comes out just when you need it to as i paced back and forth all this time 'cause i honestly believed in you holdin' on the days drag on stupid girl i shoulda known i shoulda known   that i'm not a princess this ain't a fairytale i'm not the one you'll sweep off her feet lead her up the stairwell this ain't hollywood this is a small town i was a dreamer before you went and let me down now it's too late for you and your white horse to come around   maybe i was naive got lost in your eyes and never really had a chance my mistake i didn't know to be in love you had to fight to have the upper hand i had so many dreams about you and me happy endings now i know   that i'm not a princess this ain't a fairytale i'm not the one you'll sweep off her feet lead her up the stairwell this ain't hollywood this is a small town i was a dreamer before you went and let me down now it's too late for you and your white horse to come around   and there you are on your knees beggin' for forgiveness beggin' for me just like i always wanted but i'm so sorry   'cause i'm not your princess this ain't our fairytale i'm gonna find someone someday who might actually treat me well this is a big world that was a small town there in my rear view mirror disappearing now and it's too late for you and your white horse now it's too late for you and your white horse to catch me now   oh whoa whoa whoa try and catch me now oh it's too late to catch me now""]",4.0,4.0,3.0,5.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0
33,Fearless,Breathe,Taylor Swift,Colbie Caillat,0.498,0.486,1,-7.384,1,0.0273,0.373,0.0,0.113,0.17,147.952,4,263987,False,C#,major,C# major,"[""taylor swift i see your face in my mind as i drive away 'cause none of us thought it was gonna end that way people are people and sometimes we change our minds but it's killing me to see you go after all this time   taylor swift with colbie caillat music starts playing like the end of a sad movie it's the kind of ending you don't really wanna see 'cause it's tragedy and it'll only bring you down now i don't know what to be without you around  pre taylor swift with colbie caillat and we know it's never simple never easy never a clean break no one here to save me you're the only thing i know like the back of my hand   taylor swift with colbie caillat and i can't breathe without you but i have to breathe without you but i have to   taylor swift with colbie caillat never wanted this never wanna see you hurt every little bump in the road i tried to swerve but people are people and sometimes it doesn't work out nothing we say is gonna save us from the fall out  pre taylor swift with colbie caillat and we know it's never simple never easy never a clean break no one here to save me you're the only thing i know like the back of my hand   taylor swift with colbie caillat and i can't breathe without you but i have to breathe without you but i have to   taylor swift with colbie caillat it's  am feeling like i just lost a friend hope you know it's not easy easy for me it's  am feeling like i just lost a friend hope you know this ain't easy easy for me  pre taylor swift with colbie caillat and we know it's never simple never easy never a clean break no one here to save me ohoh   taylor swift with colbie caillat i can't breathe without you but i have to breathe without you but i have to breathe without you but i have to   taylor swift  colbie caillat i'm sorry i'm sorry mmm i'm sorry yeah yeah i'm sorry i'm sorry i'm sorry i'm sorry""]",9.0,6.0,2.0,3.0,1.0,4.0,0.0,0.0,4.0,1.0,2.0
